name,college
Aliya Btgdct,SI
Adrian Nchqxj,EI
Jocelyn Tkafna,TH
Ghaida Xqofpv,WA
Shahad Zusiey,RE
Brendan Eccwpus,SI
Anish Xbruzw,MU
Frank Nhqjjf,SN
Kolya Xyqpese,WA
Teresa Jzqorvu,TH
Charles Bukbxo,SI
Anurag Hrkxlgg,SI
Mukul Ypxkfzn,FI
Elisa Zbcquk,RE
Isha Njznzw,SN
Niyati Wsrngq,FI
Alexis Kllywg,SI
Maccall Rxwhqp,EI
Christian Mtouna,WA
Tanuj Qaywvhb,EI
Nadira Ctvznd,MU
Adrian Senpzyt,EI
Kenric Xizqln,SN
Grace Ifipff,FI
Yu Xqfxwb,EI
Yunjae Jrfdyo,EI
Simmarjot Huuecll,WA
Chloe Ybqqbsu,EI
Nuri Hendem,FI
Sai Pvwcqo,SI
Prajan Cywemf,FI
Tristan Beakyuh,TH
Jason Eefbtbi,TH
Sabrina Tmxnbn,FI
Yufei Cprgdx,SN
Jacob Tpqkpn,MU
Yingying Grigdql,SI
Caokai Alzzbf,SN
Venkata Eywwjev,MU
Joshua Uzunroy,TH
Xinran Egxteh,SS
Edward Xirwng,EI
Julian Cqvbid,SI
Ameya Ftolabw,SS
Veronica Sajolb,SI
Siwoo Bxfgcuw,SI
Ruchir Utygeue,TH
Mahi Aeyukrt,TH
Kendall Iesjbm,EI
Pranaad Ojvwfr,RE
Shaun Khbujnr,EI
Akhil Aczezgc,SN
Jasneh Lsipnko,TH
Tanmayi Bsaynst,WA
Arseniy Llyxqr,TH
Anusha Yxnris,RE
Vatsal Gkyrxq,FI
Bryan Moahlpr,SI
Sandhya Olfmxue,FI
Evie Jnqivt,SI
Yatheesh Hudbzpt,TH
Phoebe Nxosjkd,SS
Kyle Zwxufu,SI
Yiquan Boxddmn,MU
Angelina Yxpsnvo,WA
Ashley Xwltvh,SN
Cathy Uglsgix,WA
Zuoyuan Edjdfk,SN
Kelis Rmbvkuy,SI
Xiangyi Yomyhk,WA
Yunqing Rtopffl,RE
Zihan Mirkem,SI
Ruochen Tnxprc,TH
Cathy Fdbekb,WA
